word,DF,IDF,Mean_TF,Mean_TF-IDF
off,6,7.1799090900149345,0.006896551724137931,0.00200186817773731
isis,6,7.1799090900149345,0.006896551724137931,0.0019999611035836397
le,5,7.442943495848729,0.005747126436781609,0.0019852206662972914
pen,5,7.442943495848729,0.005747126436781609,0.0019852206662972914
marine,5,7.442943495848729,0.005747126436781609,0.0019852206662972914
man,7,6.957516668678487,0.008045977011494253,0.001983159722340862
wait,7,6.957516668678487,0.008045977011494253,0.0019810329368965514
perfect,7,6.957516668678487,0.008045977011494253,0.0019754764073034096
finally,6,7.1799090900149345,0.006896551724137931,0.001973531510686432
again,7,6.957516668678487,0.008045977011494253,0.001968880842427815
using,6,7.1799090900149345,0.008045977011494253,0.001968611001478772
used,7,6.957516668678487,0.008045977011494253,0.0019642049861471026
testing,6,7.1799090900149345,0.006896551724137931,0.001947717997871789
though,5,7.442943495848729,0.005747126436781609,0.0019461306469037286
learning,6,7.1799090900149345,0.006896551724137931,0.0019385014250921093
case,6,7.1799090900149345,0.006896551724137931,0.001932269196593666
watch,7,6.957516668678487,0.008045977011494253,0.0019291740993649241
fracking,6,7.1799090900149345,0.006896551724137931,0.001925766521070894
gay,7,6.957516668678487,0.008045977011494253,0.0019221560766485252
deplorables,5,7.442943495848729,0.005747126436781609,0.0019210960072253845
also,7,6.957516668678487,0.008045977011494253,0.0019190602722681197
country,7,6.957516668678487,0.008045977011494253,0.0019078373702143203
spurs,4,7.764871590736091,0.008045977011494253,0.001906798764848569
nationalfastfoodday,5,7.442943495848729,0.005747126436781609,0.0019041975692087251
draintheswamp,5,7.442943495848729,0.005747126436781609,0.0019019933391381811
night,4,7.764871590736091,0.005747126436781609,0.0019005910687349553
use,7,6.957516668678487,0.008045977011494253,0.001896722868033649
own,6,7.1799090900149345,0.006896551724137931,0.0018964249673222285
means,7,6.957516668678487,0.008045977011494253,0.0018932697806709827
wall,7,6.957516668678487,0.008045977011494253,0.0018925621988950152
big,6,7.1799090900149345,0.006896551724137931,0.0018866845647019848
uber,5,7.442943495848729,0.006896551724137931,0.0018686785794044146
verlander,7,6.957516668678487,0.008045977011494253,0.0018684831865517
year,6,7.1799090900149345,0.006896551724137931,0.0018661684874895577
nice,4,7.764871590736091,0.004597701149425287,0.0018616267803965613
into,6,7.1799090900149345,0.006896551724137931,0.0018591763093273783
russia,6,7.1799090900149345,0.006896551724137931,0.0018528582812915022
ask,6,7.1799090900149345,0.006896551724137931,0.0018512882944242976
other,6,7.1799090900149345,0.006896551724137931,0.0018483631914164075
screamqueens,5,7.442943495848729,0.005747126436781609,0.0018481449057636751
ill,6,7.1799090900149345,0.006896551724137931,0.0018414407920333638
galaxy,6,7.1799090900149345,0.006896551724137931,0.0018250469116670258
note,6,7.1799090900149345,0.006896551724137931,0.0018250469116670258
america,6,7.1799090900149345,0.006896551724137931,0.001818134972593916
then,6,7.1799090900149345,0.006896551724137931,0.0018136650144729115
ever,6,7.1799090900149345,0.006896551724137931,0.0018087978715172843
hate,6,7.1799090900149345,0.006896551724137931,0.001798160124874679
tax,6,7.1799090900149345,0.006896551724137931,0.0017938219008143835
thought,6,7.1799090900149345,0.006896551724137931,0.0017922185191980471
very,6,7.1799090900149345,0.006896551724137931,0.0017883886469254968
looks,5,7.442943495848729,0.005747126436781609,0.0017865755120973295
must,5,7.442943495848729,0.006896551724137931,0.001770698428869901
another,5,7.442943495848729,0.005747126436781609,0.0017696043753926516
printing,6,7.1799090900149345,0.006896551724137931,0.0017670663777557523
thankful,5,7.442943495848729,0.005747126436781609,0.0017617710648489388
earth,6,7.1799090900149345,0.006896551724137931,0.0017617518322667102
probably,6,7.1799090900149345,0.006896551724137931,0.0017594722126836133
gop,5,7.442943495848729,0.006896551724137931,0.0017524046453747263
any,6,7.1799090900149345,0.006896551724137931,0.0017463903257817132
p,5,7.442943495848729,0.006896551724137931,0.0017398113957615684
drone,6,7.1799090900149345,0.006896551724137931,0.0017338755305916463
strikes,6,7.1799090900149345,0.006896551724137931,0.0017338755305916463
uniteblue,6,7.1799090900149345,0.006896551724137931,0.001729838341427511
george,6,7.1799090900149345,0.006896551724137931,0.0017257879174159961
obamacare,6,7.1799090900149345,0.006896551724137931,0.0017189452753521124
care,5,7.442943495848729,0.005747126436781609,0.0017188291327588205
seems,5,7.442943495848729,0.005747126436781609,0.001715839667830803
protest,4,7.764871590736091,0.005747126436781609,0.0017126840181031688
microsoft,4,7.764871590736091,0.004597701149425287,0.0016998559304513428
greatest,4,7.764871590736091,0.004597701149425287,0.0016954785191072442
soros,5,7.442943495848729,0.006896551724137931,0.0016884605624818859
ok,5,7.442943495848729,0.006896551724137931,0.0016745319744073453
nothing,5,7.442943495848729,0.005747126436781609,0.0016718737193612855
north,6,7.1799090900149345,0.006896551724137931,0.0016693576648655862
around,5,7.442943495848729,0.005747126436781609,0.0016662491535649364
movie,5,7.442943495848729,0.005747126436781609,0.0016662415857634637
free,6,7.1799090900149345,0.006896551724137931,0.0016606950789469152
may,5,7.442943495848729,0.005747126436781609,0.0016569391969670018
mean,5,7.442943495848729,0.006896551724137931,0.001656026001480499
admin,6,7.1799090900149345,0.006896551724137931,0.0016555032812223505
everything,5,7.442943495848729,0.005747126436781609,0.0016532485605985025
give,6,7.1799090900149345,0.006896551724137931,0.0016512477748056986
saakashvili,5,7.442943495848729,0.005747126436781609,0.0016428501465329363
jongun,4,7.764871590736091,0.004597701149425287,0.0016404824175002167
come,6,7.1799090900149345,0.006896551724137931,0.0016404687941331438
which,6,7.1799090900149345,0.006896551724137931,0.0016392910648559543
matter,4,7.764871590736091,0.004597701149425287,0.0016376885768864646
home,4,7.764871590736091,0.004597701149425287,0.0016292087055741638
loved,4,7.764871590736091,0.004597701149425287,0.001628095482536549
marijuana,5,7.442943495848729,0.005747126436781609,0.001627977137097416
medical,5,7.442943495848729,0.005747126436781609,0.001627977137097416
cause,4,7.764871590736091,0.004597701149425287,0.0016214201814460985
person,4,7.764871590736091,0.005747126436781609,0.0016187345135230977
before,6,7.1799090900149345,0.006896551724137931,0.0016180568607904822
needs,5,7.442943495848729,0.005747126436781609,0.0016169376783942222
reason,4,7.764871590736091,0.004597701149425287,0.0016116538232372796
part,6,7.1799090900149345,0.006896551724137931,0.0016110964206571645
altright,5,7.442943495848729,0.005747126436781609,0.0016090893255935456
something,5,7.442943495848729,0.005747126436781609,0.0016080709335003988
nazi,6,7.1799090900149345,0.006896551724137931,0.0016073538416130466
game,4,7.764871590736091,0.005747126436781609,0.0016072226277648516
lives,6,7.1799090900149345,0.006896551724137931,0.0016064451369547368
stuff,6,7.1799090900149345,0.006896551724137931,0.0015967546111051794
border,4,7.764871590736091,0.005747126436781609,0.0015932516417370714
deep,5,7.442943495848729,0.005747126436781609,0.0015917219808771763
wrong,4,7.764871590736091,0.004597701149425287,0.0015911266639537347
transition,5,7.442943495848729,0.005747126436781609,0.0015845196218235223
hezbollah,5,7.442943495848729,0.005747126436781609,0.0015809205285385892
fire,6,7.1799090900149345,0.006896551724137931,0.0015790886426910271
face,5,7.442943495848729,0.005747126436781609,0.001572700242987113
hombres,4,7.764871590736091,0.004597701149425287,0.0015621858306356518
whats,3,8.179909090014934,0.004597701149425287,0.0015562876537690547
x,5,7.442943495848729,0.005747126436781609,0.0015525192423252799
cubs,5,7.442943495848729,0.005747126436781609,0.0015474915501795467
w,5,7.442943495848729,0.005747126436781609,0.001544572724701799
state,5,7.442943495848729,0.005747126436781609,0.0015361777162745528
hes,5,7.442943495848729,0.005747126436781609,0.0015300029508623335
important,5,7.442943495848729,0.005747126436781609,0.0015282468886212651
start,4,7.764871590736091,0.004597701149425287,0.0015238025480796714
